DATE,AAA10Y
1983-01-01,1.2782539682539683
1983-04-01,1.0273015873015873
1983-07-01,0.71421875000000000000
1983-10-01,0.72566666666666666667
1984-01-01,0.34338709677419354839
1984-04-01,0.00698412698412698413
1984-07-01,0.12317460317460317460
1984-10-01,0.59770491803278688525
1985-01-01,0.67600000000000000000
1985-04-01,0.81920634920634920635
1985-07-01,0.68984126984126984127
1985-10-01,0.81548387096774193548
1986-01-01,1.00883333333333333333
1986-04-01,1.4018750000000000
1986-07-01,1.5243750000000000
1986-10-01,1.4130645161290323
1987-01-01,1.1739344262295082
1987-04-01,0.82333333333333333333
1987-07-01,0.87984375000000000000
1987-10-01,1.0896774193548387
1988-01-01,1.1298387096774194
1988-04-01,0.90015873015873015873
1988-07-01,0.86609375000000000000
1988-10-01,0.55049180327868852459
1989-01-01,0.47918032786885245902
1989-04-01,0.71921875000000000000
1989-07-01,0.85714285714285714286
1989-10-01,0.98129032258064516129
1990-01-01,0.77225806451612903226
1990-04-01,0.72095238095238095238
1990-07-01,0.69857142857142857143
1990-10-01,0.89596774193548387097
1991-01-01,0.91316666666666666667
1991-04-01,0.77843750000000000000
1991-07-01,0.84156250000000000000
1991-10-01,1.1019354838709677
1992-01-01,0.97225806451612903226
1992-04-01,0.89936507936507936508
1992-07-01,1.3617187500000000
1992-10-01,1.2772580645161290
1993-01-01,1.4647540983606557
1993-04-01,1.4157142857142857
1993-07-01,1.2767187500000000
1993-10-01,1.2308064516129032
1994-01-01,1.0879032258064516
1994-04-01,0.85919354838709677419
1994-07-01,0.84515625000000000000
1994-10-01,0.73049180327868852459
1995-01-01,0.80145161290322580645
1995-04-01,1.0417460317460317
1995-07-01,1.1084126984126984
1995-10-01,1.0904838709677419
1996-01-01,1.1359677419354839
1996-04-01,0.89468750000000000000
1996-07-01,0.81015625000000000000
1996-10-01,0.88596774193548387097
1997-01-01,0.86300000000000000000
1997-04-01,0.87671875000000000000
1997-07-01,0.92734375000000000000
1997-10-01,0.97241935483870967742
1998-01-01,1.0788524590163934
1998-04-01,1.0453968253968254
1998-07-01,1.2860937500000000
1998-10-01,1.6675806451612903
1999-01-01,1.4314754098360656
1999-04-01,1.3932812500000000
1999-07-01,1.4456250000000000
1999-10-01,1.3437096774193548
2000-01-01,1.2431746031746032
2000-04-01,1.5876190476190476
2000-07-01,1.7126984126984127
2000-10-01,1.8372580645161290
2001-01-01,2.0301612903225806
2001-04-01,1.9477777777777778
2001-07-01,2.1065573770491803
2001-10-01,2.1729508196721311
2002-01-01,1.5433333333333333
2002-04-01,1.6107812500000000
2002-07-01,2.0848437500000000
2002-10-01,2.2758064516129032
2003-01-01,2.0852459016393443
2003-04-01,1.6887301587301587
2003-07-01,1.4651562500000000
2003-10-01,1.3704838709677419
2004-01-01,1.4370967741935484
2004-04-01,1.3288709677419355
2004-07-01,1.3420312500000000
2004-10-01,1.3080645161290323
2005-01-01,1.0206557377049180
2005-04-01,0.98500000000000000000
2005-07-01,0.87812500000000000000
2005-10-01,0.88819672131147540984
2006-01-01,0.81935483870967741935
2006-04-01,0.82476190476190476190
2006-07-01,0.78730158730158730159
2006-10-01,0.75822580645161290323
2007-01-01,0.68338709677419354839
2007-04-01,0.73109375000000000000
2007-07-01,1.01571428571428571429
2007-10-01,1.2670967741935484
2008-01-01,1.7875409836065574
2008-04-01,1.7184375000000000
2008-07-01,1.7895312500000000
2008-10-01,2.5625806451612903
2009-01-01,2.5413114754098361
2009-04-01,2.1919047619047619
2009-07-01,1.7500000000000000
2009-10-01,1.7350000000000000
2010-01-01,1.5745901639344262
2010-04-01,1.5540625000000000
2010-07-01,1.7943750000000000
2010-10-01,1.9819354838709677
2011-01-01,1.6722580645161290
2011-04-01,1.8326984126984127
2011-07-01,2.0364062500000000
2011-10-01,1.8795081967213115
2012-01-01,1.8575806451612903
2012-04-01,1.9751562500000000
2012-07-01,1.8103174603174603
2012-10-01,1.8300000000000000
2013-01-01,1.9230000000000000
2013-04-01,1.9695312500000000
2013-07-01,1.7981250000000000
2013-10-01,1.8469354838709677
2014-01-01,1.6742622950819672
2014-04-01,1.5963492063492063
2014-07-01,1.6176562500000000
2014-10-01,1.5961290322580645
2015-01-01,1.6026229508196721
2015-04-01,1.7312500000000000
2015-07-01,1.8629687500000000
2015-10-01,1.7998387096774194
2016-01-01,2.0070491803278689
2016-04-01,1.8362500000000000
2016-07-01,1.7735937500000000
2016-10-01,1.6749180327868852
2017-01-01,1.5156451612903226
2017-04-01,1.5350793650793651
2017-07-01,1.4115873015873016
2017-10-01,1.1888524590163934
2018-01-01,0.98475409836065573770
2018-04-01,1.01250000000000000000
2018-07-01,0.98523809523809523810
2018-10-01,1.0862295081967213
2019-01-01,1.1793442622950820
2019-04-01,1.2617460317460317
2019-07-01,1.3050000000000000
2019-10-01,1.2309677419354839
2020-01-01,1.5537096774193548
2020-04-01,1.7673015873015873
2020-07-01,1.5826562500000000
2020-10-01,1.4406451612903226
2021-01-01,1.4129508196721311
2021-04-01,1.2890476190476190
2021-07-01,1.2239062500000000
2021-10-01,1.1167213114754098
2022-01-01,1.2648387096774194
2022-04-01,1.1167741935483871
2022-07-01,1.1348437500000000
2022-10-01,0.97655737704918032787
2023-01-01,0.87661290322580645161
2023-04-01,1.00064516129032258065
2023-07-01,0.76650793650793650794
2023-10-01,0.77225806451612903226
2024-01-01,.
