variable,mean,min,median,max,nmissing,eltype
g_sh,0.6782946205737713,0.4883905221941156,0.6720849227520641,0.914687716031632,0,Float64
g_sh,0.6782946205737713,0.4883905221941156,0.6720849227520641,0.914687716031632,0,Float64
b_liqtil_sh,0.9450167863220984,0.90651212262381,0.9452949006918356,0.9737839486714336,0,Float64
b_liqp_sh,0.9889843839746558,0.950048723965003,0.9901541985826625,0.9986045246630141,0,Float64
b_safetil_sh,0.7353238105968708,0.3942037219132866,0.7428443201476741,0.8827289467283649,0,Float64
b_safep_sh,0.9888703694923988,0.9505563120002292,0.9901756796895634,0.9985723477573033,0,Float64
μ_sh,-0.6554203124460479,-0.831159652133481,-0.6539662853982229,-0.5109371651479347,0,Float64
z_sh,0.7585262845271603,0.6341372681859918,0.7568509847139251,0.9082323241041003,0,Float64
λ_f_sh,-0.028403351794785953,-0.9712193409115965,-0.017490871877312818,0.7813262496510479,0,Float64
λ_w_sh,0.0029812605412374523,-0.9936137747125163,0.08210826516661729,0.9962251024225827,0,Float64
rm_sh,-0.0003543752554209988,-0.8320200223440901,0.04865560778887004,0.872497003837886,0,Float64
σ_ω_sh,0.4029241484144217,-0.0610816907399451,0.41022148807360065,0.6550759717412736,0,Float64
π_star_sh,-0.036460027333842925,-0.9899873905584211,-0.13141338088814236,0.9877985279307041,0,Float64
zp_sh,0.9642532610367911,0.7712502012527557,0.9705796432975679,0.9977858239638956,0,Float64
rm_shl1,0.012138451152234709,-0.6204326263025747,0.05878809700808432,0.5997604242219936,0,Float64
rm_shl2,0.021405590121145842,-0.4235008836754295,0.04646612826557962,0.396782266047283,0,Float64
rm_shl3,0.02922305299479287,-0.37815892537013496,0.02662430880618728,0.4386927353532821,0,Float64
rm_shl4,0.031881541679086516,-0.4170128632140802,0.01836574590551896,0.5865288855004637,0,Float64
rm_shl5,0.030687052053908447,-0.4562100044873211,0.018814010215801376,0.6799476742271944,0,Float64
rm_shl6,0.028730976455367603,-0.5471133368059532,0.021598205744895627,0.6687432169256718,0,Float64
